uid,namedLocation,date,nonwoodyCollectDate,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,easting,northing,utmZone,elevation,elevationUncertainty,samplingImpractical,eventID,eventType,dataCollected,subplotsSampled,samplingProtocolVersion,targetTaxaPresent,woodyTargetTaxaPresent,nonWoodyTargetTaxaPresent,treesPresent,shrubsPresent,lianasPresent,cactiPresent,fernsPresent,yuccasPresent,palmsPresent,ocotillosPresent,xerophyllumPresent,treeFernsPresent,nestedSubplotAreaShrubSapling,nestedSubplotAreaLiana,nestedSubplotAreaFerns,nestedSubplotAreaOther,totalSampledAreaTrees,totalSampledAreaShrubSapling,totalSampledAreaLiana,totalSampledAreaFerns,totalSampledAreaOther,remarks,measuredBy,recordedBy,dataQF
"f9713d60-fbe6-45ef-87d3-b3598f30514d","BART_051.basePlot.vst","2017-07-10",,"D01","BART","BART_051","tower","deciduousForest",44.062723,-71.287987,"WGS84",20.2,316754.37,4881384.55,"19N",283.9,0.4,,"vst_BART_2017",,,"39_400|41_400","NEON.DOC.000987vG","Y",,,"Y","N","N","N","Y","N","N","N","N",,"25","noneSelected",,"noneSelected",800,100,800,,800,,"sstevens@battelleecology.org","ramundson@field-ops.org",
"5401711b-6f5f-4c32-90c5-7678342964e2","BART_034.basePlot.vst","2017-07-10",,"D01","BART","BART_034","tower","mixedForest",44.064284,-71.285608,"WGS84",20.2,316949.72,4881552.64,"19N",265.9,0.3,,"vst_BART_2017",,,"21_400|41_400","NEON.DOC.000987vG","Y",,"N","Y","N","N","N","N","N","N","N","N",,"100","noneSelected",,"noneSelected",800,400,800,,800,,"sstevens@battelleecology.org","ramundson@field-ops.org",
"3c92d3e4-3284-4503-8f87-0a6adc43a80b","BART_039.basePlot.vst","2017-07-10",,"D01","BART","BART_039","tower","deciduousForest",44.063682,-71.288951,"WGS84",20.3,316680.12,4881493.21,"19N",270.8,0.5,,"vst_BART_2017",,,"39_400|41_400","NEON.DOC.000987vG","Y",,,"Y","N","N","N","Y","N","N","N","N",,"100","noneSelected",,"25",800,400,800,,100,,"sstevens@battelleecology.org","ramundson@field-ops.org",
"5f4ec65e-f055-4598-ad6d-37701fbb1d63","BART_036.basePlot.vst","2017-07-10",,"D01","BART","BART_036","tower","deciduousForest",44.062082,-71.285878,"WGS84",20.2,316921.30,4881308.66,"19N",291.0,0.2,,"vst_BART_2017",,,"21_400|41_400","NEON.DOC.000987vG","Y",,"N","Y","N","N","N","N","N","N","N","N",,"25","noneSelected",,"noneSelected",800,100,800,,800,,"sstevens@battelleecology.org","ramundson@field-ops.org",
"aee026a7-5da9-4563-b2f8-ee715a824f5f","BART_073.basePlot.vst","2017-07-10",,"D01","BART","BART_073","tower","mixedForest",44.064774,-71.288616,"WGS84",20.1,316710.32,4881613.76,"19N",274.9,0.2,,"vst_BART_2017",,,"23_400|39_400","NEON.DOC.000987vG","Y",,,"Y","N","N","N","Y","N","N","N","N",,"25","noneSelected",,"noneSelected",800,100,800,,800,,"sstevens@battelleecology.org","ramundson@field-ops.org",
"cd3e01d2-ef0f-4a60-b03d-4e1bde32ee39","BART_040.basePlot.vst","2017-07-10",,"D01","BART","BART_040","tower","deciduousForest",44.065760,-71.291990,"WGS84",20.1,316443.15,4881730.79,"19N",260.2,0.2,,"vst_BART_2017",,,"21_400|41_400","NEON.DOC.000987vG","Y",,,"Y","Y","N","N","Y","N","N","N","N",,"25","noneSelected",,"100",800,100,800,,400,,"sstevens@battelleecology.org","ramundson@field-ops.org",
"dc267887-036e-425f-8bc7-538c80d85f59","BART_042.basePlot.vst","2017-07-10",,"D01","BART","BART_042","tower","deciduousForest",44.060194,-71.288052,"WGS84",20.2,316741.36,4881103.79,"19N",288.3,0.2,,"vst_BART_2017",,,"39_400|41_400","NEON.DOC.000987vG","Y",,,"Y","Y","N","N","Y","N","N","N","N",,"100","noneSelected",,"25",800,400,800,,100,,"sstevens@battelleecology.org","ramundson@field-ops.org",
"a5c022e6-696a-41d9-afa4-b8dbd1ea8fa8","BART_070.basePlot.vst","2017-07-10",,"D01","BART","BART_070","tower","mixedForest",44.064338,-71.281440,"WGS84",20.2,317283.70,4881549.38,"19N",251.3,0.3,,"vst_BART_2017",,,"39_400|41_400","NEON.DOC.000987vG","Y",,,"Y","Y","N","N","Y","N","N","N","N",,"100","noneSelected",,"10",800,400,800,,40,,"sstevens@battelleecology.org","ramundson@field-ops.org",
"3f6e0a2b-4e9d-46dc-9444-d9d2d33a54fa","BART_071.basePlot.vst","2017-07-10",,"D01","BART","BART_071","tower","mixedForest",44.067944,-71.290624,"WGS84",20.1,316559.30,4881970.33,"19N",256.4,0.2,,"vst_BART_2017",,,"21_400|39_400","NEON.DOC.000987vG","Y",,,"Y","N","N","N","Y","N","N","N","N",,"25","noneSelected",,"noneSelected",800,100,800,,800,,"sstevens@battelleecology.org","ramundson@field-ops.org",
"97940d72-f433-43c2-a0e2-9e106398043b","BART_032.basePlot.vst","2017-07-10",,"D01","BART","BART_032","tower","deciduousForest",44.067467,-71.287580,"WGS84",20.2,316801.60,4881910.57,"19N",244.7,0.3,,"vst_BART_2017",,,"23_400|39_400","NEON.DOC.000987vG","Y",,,"Y","Y","N","N","Y","N","N","N","N",,"25","noneSelected",,"noneSelected",800,100,800,,800,,"sstevens@battelleecology.org","ramundson@field-ops.org",
"d206e993-a6c7-42a2-bf87-17300a7a4d8e","BART_074.basePlot.vst","2017-07-10",,"D01","BART","BART_074","tower","mixedForest",44.060251,-71.283200,"WGS84",20.1,317130.15,4881099.34,"19N",311.2,0.2,,"vst_BART_2017",,,"39_400|41_400","NEON.DOC.000987vG","Y",,"N","Y","N","N","N","N","N","N","N","N",,"25","noneSelected",,"noneSelected",800,100,800,,800,,"sstevens@battelleecology.org","ramundson@field-ops.org",
"3b3df939-254f-49c5-a0f5-250beaacbeaa","BART_075.basePlot.vst","2017-07-10",,"D01","BART","BART_075","tower","mixedForest",44.059141,-71.286492,"WGS84",20.3,316863.06,4880983.36,"19N",297.0,0.4,,"vst_BART_2017",,,"23_400|41_400","NEON.DOC.000987vG","Y",,,"Y","Y","N","N","Y","N","N","N","N",,"100","noneSelected",,"noneSelected",800,400,800,,800,,"sstevens@battelleecology.org","ramundson@field-ops.org",
"0c6b95dd-5564-4016-b4a4-c30b704e423a","BART_050.basePlot.vst","2017-07-10",,"D01","BART","BART_050","tower","mixedForest",44.061510,-71.287690,"WGS84",20.2,316774.41,4881249.16,"19N",287.7,0.3,,"vst_BART_2017",,,"21_400|41_400","NEON.DOC.000987vG","Y",,,"Y","Y","N","N","Y","N","N","N","N",,"100","noneSelected",,"25",800,400,800,,100,,"sstevens@battelleecology.org","ramundson@field-ops.org",
"4cc4d5cb-3e34-4d43-b383-3b5ceab6d66a","BART_046.basePlot.vst","2017-07-10",,"D01","BART","BART_046","tower","deciduousForest",44.059946,-71.285408,"WGS84",20.2,316952.36,4881070.36,"19N",303.0,0.3,,"vst_BART_2017",,,"39_400|41_400","NEON.DOC.000987vG","Y",,"N","Y","N","N","N","N","N","N","N","N",,"100","noneSelected",,"noneSelected",800,400,800,,800,,"sstevens@battelleecology.org","ramundson@field-ops.org",
"4365c0c8-54a8-4ea4-b233-2f3b5b63d195","BART_041.basePlot.vst","2017-07-10",,"D01","BART","BART_041","tower","deciduousForest",44.065342,-71.285610,"WGS84",20.2,316952.82,4881670.16,"19N",260.9,0.4,,"vst_BART_2017",,,"23_400|39_400","NEON.DOC.000987vG","Y",,"N","Y","N","N","N","N","N","N","N","N",,"100","noneSelected",,"noneSelected",800,400,800,,800,,"sstevens@battelleecology.org","ramundson@field-ops.org",
"01cea5cb-a555-421a-ada3-02471e29b880","BART_037.basePlot.vst","2017-07-10",,"D01","BART","BART_037","tower","deciduousForest",44.061598,-71.283244,"WGS84",20.2,317130.78,4881249.05,"19N",290.6,0.2,,"vst_BART_2017",,,"21_400|41_400","NEON.DOC.000987vG","Y",,"N","Y","N","N","N","N","N","N","N","N",,"100","noneSelected",,"noneSelected",800,400,800,,800,,"sstevens@battelleecology.org","ramundson@field-ops.org",
"146986e9-4edf-49b8-a03b-f480b5498c89","BART_033.basePlot.vst","2017-07-10",,"D01","BART","BART_033","tower","deciduousForest",44.063198,-71.283663,"WGS84",20.2,317102.15,4881427.69,"19N",275.7,0.2,,"vst_BART_2017",,,"23_400|41_400","NEON.DOC.000987vG","Y",,"N","Y","N","N","N","N","N","N","N","N",,"25","noneSelected",,"noneSelected",800,100,800,,800,,"sstevens@battelleecology.org","ramundson@field-ops.org",
"d903bb2c-1165-41eb-97b2-67dfc60be4d7","BART_044.basePlot.vst","2017-07-10",,"D01","BART","BART_044","tower","deciduousForest",44.061036,-71.284327,"WGS84",20.1,317042.31,4881189.03,"19N",303.1,0.2,,"vst_BART_2017",,,"23_400|39_400","NEON.DOC.000987vG","Y",,"N","Y","N","N","N","N","N","N","N","N",,"100","noneSelected",,"noneSelected",800,400,800,,800,,"sstevens@battelleecology.org","ramundson@field-ops.org",
"74674f88-5821-49c2-86e7-47c162f8ec27","BART_047.basePlot.vst","2017-07-10",,"D01","BART","BART_047","tower","deciduousForest",44.064968,-71.290855,"WGS84",20.1,316531.60,4881640.29,"19N",262.9,0.2,,"vst_BART_2017",,,"21_400|41_400","NEON.DOC.000987vG","Y",,,"Y","Y","N","N","Y","N","N","N","N",,"100","noneSelected",,"100",800,400,800,,400,,"sstevens@battelleecology.org","ramundson@field-ops.org",
"7525e414-cbf1-49a6-b575-eeedc791031f","BART_072.basePlot.vst","2017-07-10",,"D01","BART","BART_072","tower","deciduousForest",44.060735,-71.286187,"WGS84",20.3,316892.40,4881159.73,"19N",295.9,0.5,,"vst_BART_2017",,,"21_400|39_400","NEON.DOC.000987vG","Y",,"N","Y","N","N","N","N","N","N","N","N",,"10","noneSelected",,"noneSelected",800,40,800,,800,,"sstevens@battelleecology.org","ramundson@field-ops.org",
