uid,namedLocation,date,nonwoodyCollectDate,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,easting,northing,utmZone,elevation,elevationUncertainty,samplingImpractical,eventID,eventType,dataCollected,subplotsSampled,samplingProtocolVersion,targetTaxaPresent,woodyTargetTaxaPresent,nonWoodyTargetTaxaPresent,treesPresent,shrubsPresent,lianasPresent,cactiPresent,fernsPresent,yuccasPresent,palmsPresent,ocotillosPresent,xerophyllumPresent,treeFernsPresent,nestedSubplotAreaShrubSapling,nestedSubplotAreaLiana,nestedSubplotAreaFerns,nestedSubplotAreaOther,totalSampledAreaTrees,totalSampledAreaShrubSapling,totalSampledAreaLiana,totalSampledAreaFerns,totalSampledAreaOther,remarks,measuredBy,recordedBy,dataQF
"fcb21082-fa2c-4c90-9790-e587bceb17e3","HARV_027.basePlot.vst","2015-09-16",,"D01","HARV","HARV_027","distributed","evergreenForest",42.430350,-72.253258,"WGS84",20.1,725947.38,4701214.85,"18N",183.1,0.2,,"vst_HARV_2015",,,"31_100|32_100|40_100|41_100","NEON.DOC.000987vD",,,,,,,,,,,,,,"noneSelected","noneSelected",,"noneSelected",400,400,400,,400,"o transcription errors","dcrandall@neoninc.org","llukas@neoninc.org","legacyData"
"f5231f8b-a178-4640-a807-f2f134f5344d","HARV_008.basePlot.vst","2015-09-17",,"D01","HARV","HARV_008","distributed","deciduousForest",42.444557,-72.226082,"WGS84",20.2,728131.45,4702865.25,"18N",242.2,0.2,,"vst_HARV_2015",,,"31_100|32_100|40_100|41_100","NEON.DOC.000987vD",,,,,,,,,,,,,,"10","noneSelected",,"noneSelected",400,80,400,,400,"no transcription errors found","sives@field-ops.org","llukas@field-ops.org","legacyData"
"d0e88923-1668-4ede-b228-129db49d7cc2","HARV_013.basePlot.vst","2015-09-21",,"D01","HARV","HARV_013","distributed","evergreenForest",42.392282,-72.254598,"WGS84",20.2,725973.86,4696983.89,"18N",184.6,0.2,,"vst_HARV_2015",,,"31_100|32_100|40_100|41_100","NEON.DOC.000987vD",,,,,,,,,,,,,,"noneSelected","noneSelected",,"1",400,400,400,,8,,"dcrandall@neoninc.org","auccello@field-ops.org","legacyData"
"329fd63d-6055-49ee-871a-4968e04bc286","HARV_026.basePlot.vst","2015-09-22",,"D01","HARV","HARV_026","distributed","evergreenForest",42.410762,-72.247271,"WGS84",20.1,726510.45,4699055.59,"18N",194.3,0.2,,"vst_HARV_2015",,,"31_100|32_100|40_100|41_100","NEON.DOC.000987vD",,,,,,,,,,,,,,"10","noneSelected",,"noneSelected",400,80,400,,400,,"dcrandall@neoninc.org","gbreault@field-ops.org","legacyData"
"586179ac-33ee-4e81-9d50-395c2810a301","HARV_020.basePlot.vst","2015-09-22",,"D01","HARV","HARV_020","distributed","woodyWetlands",42.436767,-72.228878,"WGS84",20.2,727929.75,4701992.66,"18N",225.4,0.3,,"vst_HARV_2015",,,"31_100|32_100|40_100|41_100","NEON.DOC.000987vD",,,,,,,,,,,,,,"25","noneSelected",,"noneSelected",400,200,400,,400,,"ccahill@field-ops.org","gbreault@field-ops.org","legacyData"
"9b03d8cb-e86d-448c-9989-ff984920fbc5","HARV_012.basePlot.vst","2015-09-22",,"D01","HARV","HARV_012","distributed","deciduousForest",42.429486,-72.239802,"WGS84",20.2,727057.47,4701154.83,"18N",233.3,0.2,,"vst_HARV_2015",,,"31_100|32_100|40_100|41_100","NEON.DOC.000987vD",,,,,,,,,,,,,,"10","noneSelected",,"noneSelected",400,80,400,,400,,"gbreault@field-ops.org","ccahill@field-ops.org","legacyData"
"9cb34927-2149-4a88-9bc7-60806bb4f4bc","HARV_011.basePlot.vst","2015-09-22",,"D01","HARV","HARV_011","distributed","deciduousForest",42.455924,-72.238278,"WGS84",20.3,727087.27,4704094.82,"18N",231.5,0.4,,"vst_HARV_2015",,,"31_100|32_100|40_100|41_100","NEON.DOC.000987vD",,,,,,,,,,,,,,"10","noneSelected",,"noneSelected",400,80,400,,400,,"ccahill@field-ops.org","ssmith@field-ops.org","legacyData"
"d4eba7cd-1b81-49c2-935a-3aaed029a633","HARV_023.basePlot.vst","2015-09-23",,"D01","HARV","HARV_023","distributed","evergreenForest",42.414314,-72.226622,"WGS84",20.2,728196.81,4699505.34,"18N",170.4,0.2,,"vst_HARV_2015",,,"31_100|32_100|40_100|41_100","NEON.DOC.000987vD",,,,,,,,,,,,,,"10","noneSelected",,"noneSelected",400,80,400,,400,,"ccahill@field-ops.org","gbreault@field-ops.org","legacyData"
"94b97cc2-3e51-4d3e-8e25-c7b9363e6a6f","HARV_022.basePlot.vst","2015-09-24",,"D01","HARV","HARV_022","distributed","evergreenForest",42.434188,-72.198776,"WGS84",20.2,730415.32,4701787.58,"18N",193.5,0.3,,"vst_HARV_2015",,,"31_100|32_100|40_100|41_100","NEON.DOC.000987vD",,,,,,,,,,,,,,"25","noneSelected",,"noneSelected",400,200,400,,400,,"dcrandall@neoninc.org","dcrandall@neoninc.org","legacyData"
"9ba4239e-e9f4-494c-ace0-57c2d9d34ec6","HARV_002.basePlot.vst","2015-09-28",,"D01","HARV","HARV_002","distributed","deciduousForest",42.478565,-72.259572,"WGS84",20.1,725254.96,4706552.29,"18N",193.6,0.1,,"vst_HARV_2015",,,"31_100|32_100|40_100|41_100","NEON.DOC.000987vD",,,,,,,,,,,,,,"10","noneSelected",,"noneSelected",400,80,400,,400,,"dcrandall@neoninc.org","gbreault@field-ops.org","legacyData"
"0610ff92-0f0f-453d-8daa-c82ba5418e2f","HARV_024.basePlot.vst","2015-09-29",,"D01","HARV","HARV_024","distributed","woodyWetlands",42.460002,-72.250871,"WGS84",20.1,726037.03,4704514.04,"18N",175.0,0.1,,"vst_HARV_2015",,,"31_100|32_100|40_100|41_100","NEON.DOC.000987vD",,,,,,,,,,,,,,"10","noneSelected",,"noneSelected",400,80,400,,400,,"dcrandall@neoninc.org","dcrandall@neoninc.org","legacyData"
