uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,tagID,individualID,tagStatus,identificationHistoryID,taxonID,scientificName,taxonRank,identificationReferences,identificationQualifier,morphospeciesID,growthForm,shape,plantStatus,leafNumber,meanLeafLength,meanPetioleLength,meanBladeLength,basalStemDiameter,meanBasalDiameter,stemDiameter,stemLength,measurementHeight,maxCrownDiameter,ninetyCrownDiameter,height,baseCrownHeight,maxBaseCrownDiameter,ninetyBaseCrownDiameter,canopyPosition,oldPadCount,newPadCount,stemCount,branchCount,meanBranchLength,remarks,measuredBy,recordedBy,dataEntryRecordID
"7ed904d6-fc27-44e3-9c11-7f95bf5f9a1a","UNDE_058.basePlot.vst","2016-08-29","vst_UNDE_2016","D05","UNDE","UNDE_058","33_unknown_4",,"TEMP.PLA.NW.UNDE.2016.58158",,,"PTAQ","Pteridium aquilinum (L.) Kuhn","species",,,,"fern",,"Live",,,,,0.5,,,,,,,,,,,,,,,,,,"AAbramovich@battelleecology.org","ELeonard@battelleecology.org",
"a6c66249-8ab3-406c-92d4-6ef35ab214e8","UNDE_058.basePlot.vst","2016-08-29","vst_UNDE_2016","D05","UNDE","UNDE_058","33_unknown_4",,"TEMP.PLA.NW.UNDE.2016.58194",,,"PTAQ","Pteridium aquilinum (L.) Kuhn","species",,,,"fern",,"Live",,,,,0.3,,,,,,,,,,,,,,,,,,"AAbramovich@battelleecology.org","ELeonard@battelleecology.org",
"c8fedda0-916e-43f6-acf3-1fd1d520be0f","UNDE_057.basePlot.vst","2016-08-29","vst_UNDE_2016","D05","UNDE","UNDE_057","33_unknown_4",,"TEMP.PLA.NW.UNDE.2016.57163",,,"DRIN5","Dryopteris intermedia (Muhl. ex Willd.) A. Gray","species",,,,"fern",,"Live",4,39.0,,,,,,,,,,,,,,,,,,,,,"ELeonard@battelleecology.org","AMeade@battelleecology.org",
"b9c48060-85bc-4e4a-be7f-063f8f38b295","UNDE_057.basePlot.vst","2016-08-29","vst_UNDE_2016","D05","UNDE","UNDE_057","24_unknown_2",,"TEMP.PLA.NW.UNDE.2016.57176",,,"OSCI","Osmunda cinnamomea L.","species",,,,"fern",,"Live",4,85.0,,,,,,,,,,,,,,,,,,,,,"ELeonard@battelleecology.org","AMeade@battelleecology.org",
"64e0bb13-bdbe-458f-a44a-6571684a3d0b","UNDE_058.basePlot.vst","2016-08-29","vst_UNDE_2016","D05","UNDE","UNDE_058","33_unknown_4",,"TEMP.PLA.NW.UNDE.2016.58152",,,"PTAQ","Pteridium aquilinum (L.) Kuhn","species",,,,"fern",,"Live",,,,,0.3,,,,,,,,,,,,,,,,,,"AAbramovich@battelleecology.org","ELeonard@battelleecology.org",
"1f4404d6-98ba-49af-ab1e-0a2360ee3690","UNDE_058.basePlot.vst","2016-08-29","vst_UNDE_2016","D05","UNDE","UNDE_058","33_unknown_4",,"TEMP.PLA.NW.UNDE.2016.58202",,,"PTAQ","Pteridium aquilinum (L.) Kuhn","species",,,,"fern",,"Live",,,,,0.5,,,,,,,,,,,,,,,,,,"AAbramovich@battelleecology.org","ELeonard@battelleecology.org",
"c266e9dc-036a-4b38-9540-bf366d8300c5","UNDE_057.basePlot.vst","2016-08-29","vst_UNDE_2016","D05","UNDE","UNDE_057","31_unknown_4",,"TEMP.PLA.NW.UNDE.2016.57201",,,"OSCI","Osmunda cinnamomea L.","species",,,,"fern",,"Live",2,46.0,,,,,,,,,,,,,,,,,,,,,"ELeonard@battelleecology.org","AMeade@battelleecology.org",
"8d46f7a5-752c-468e-bab5-e84a7f3efd1b","UNDE_057.basePlot.vst","2016-08-29","vst_UNDE_2016","D05","UNDE","UNDE_057","24_unknown_2",,"TEMP.PLA.NW.UNDE.2016.57189",,,"OSCI","Osmunda cinnamomea L.","species",,,,"fern",,"Live",5,100.0,,,,,,,,,,,,,,,,,,,,,"ELeonard@battelleecology.org","AMeade@battelleecology.org",
"9e77907e-c6c1-401c-8af6-19bf421c37a9","UNDE_057.basePlot.vst","2016-08-29","vst_UNDE_2016","D05","UNDE","UNDE_057","24_unknown_2",,"TEMP.PLA.NW.UNDE.2016.57190",,,"OSCI","Osmunda cinnamomea L.","species",,,,"fern",,"Live",3,44.0,,,,,,,,,,,,,,,,,,,,,"ELeonard@battelleecology.org","AMeade@battelleecology.org",
"447528a4-f3b2-4dd8-8316-7aaa4362f0fd","UNDE_057.basePlot.vst","2016-08-29","vst_UNDE_2016","D05","UNDE","UNDE_057","24_unknown_2",,"TEMP.PLA.NW.UNDE.2016.57164",,,"OSCI","Osmunda cinnamomea L.","species",,,,"fern",,"Live",2,35.0,,,,,,,,,,,,,,,,,,,,,"ELeonard@battelleecology.org","AMeade@battelleecology.org",
